욕	순화단어
자지핧어	
존낙	
따아알따아리	
보지찢어	
줬같은	
부랄	
개너미	
젼나	
좃보지	
개쉐뀌	
씹쉐뀌	
인조새	
쉬이이	
개새기	
一	
쳐발라	
씨벌쉐이	
이따위	
라면갤	
죶	
왜저럼	
덬	
쓰렉	
새	
노무	
봊	
허벌자식	
ㅁㅊ	
니년	
애에무	
쉬펄	
스벌	
주글년	
씹팔	
개새	
빨갱이	
뒤져라	
호로자슥	
난자마셔	
시부렬	
뒤질	
아몰랑	
자기핧아	
새끼야	
찐따	
mi친	
핑끄	
외1퀴	
털	
엿먹어라	
개거얼레	
아오시바	
둄마	
돌은새끼	
18num	
맛없는년	
존	
역겹다	
씨입	
씹탱	
씨방새	
십버지	
시미친발	
어미쑤시자	
